Fecha,Latitud,Longitud,Pofundidad (km),Magnitud,Escala de Magnitud,Gap,Dmin,RMS,Lugar,Tipo,Error Horizontal,Error de Profundidad,Error de Magnitud,Número de Estaciones
2001-03-01T07:42:13.950Z,10.517,-61.749,13,3.2,md,,,,"Golfo de Paria, Trinidad y Tobago",Sismo,,,,
2001-03-02T20:48:41.160Z,10.994,-63.125,33,3.4,mb,,,1.23,"Costa Afuera de Sucre, Venezuela",Sismo,,,,1
2001-03-09T22:06:27.170Z,10.389,-62.247,38,3.1,md,,,,"Golfo de Paria, Venezuela",Sismo,,,,
2001-03-11T20:12:36.390Z,11.04,-62.018,54,3.1,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2001-03-24T06:04:40.880Z,10.624,-62.455,31,3.1,md,,,,"Sucre, Venezuela",Sismo,,,,
2001-03-26T08:32:50.740Z,10.705,-62.557,101.1,4.4,mb,,,1.16,"Sucre, Venezuela",Sismo,,8.2,,13
2001-04-01T10:26:57.210Z,10.584,-63.009,5,4,mb,,,1.44,"Sucre, Venezuela",Sismo,,,,3
2001-04-05T09:37:21.830Z,10.029,-72.822,33,4.2,mb,,,0.8,"Zulia, Venezuela",Sismo,,,,7
2001-04-07T08:50:24.210Z,8.986,-61.087,66,3.9,mb,,,0.96,"Delta Amacuro, Venezuela",Sismo,,9,,6
2001-04-14T17:32:58.360Z,10.897,-62.277,96,3.2,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2001-04-20T10:54:39.210Z,11.265,-61.827,99,3.4,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2001-04-24T17:03:31.590Z,10.848,-62.479,94.3,4.6,mb,,,0.97,"Costa Afuera de Sucre, Venezuela",Sismo,,,,52
2001-04-24T23:37:55.360Z,10.919,-62.308,47,3.3,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2001-04-25T04:10:27.330Z,11.289,-62.053,31,3,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2001-04-30T18:05:58.470Z,10.845,-62.138,53,3.5,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2001-05-01T02:48:03.240Z,10.845,-62.326,69,3.5,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2001-05-03T09:46:35.810Z,10.946,-62.298,45,3.2,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2001-05-09T04:15:36.030Z,10.804,-62.383,74,2.8,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2001-05-09T15:50:50.600Z,10.168,-61.918,33,3.4,md,,,,"Golfo de Paria, Trinidad y Tobago",Sismo,,,,
2001-05-12T00:49:25.700Z,10.863,-62.365,65,3,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2001-05-12T12:08:16.710Z,10.951,-62.159,84,2.8,md,,,,"Costa Afuera de Sucre, Venezuela",Sismo,,,,
2001-05-12T15:47:04.260Z,10.626,-62.753,34,2.8,md,,,,"Sucre, Venezuela",Sismo,,,,
2001-05-27T11:31:31.050Z,7.026,-72.702,150,4,mb,,,0.76,Frontera Colombia-Venezuela,Sismo,,,,3
2001-06-05T14:38:59.470Z,9.592,-69.337,19.2,4.8,mb,,,0.9,"Portuguesa, Venezuela",Sismo,,,,55
2001-06-10T08:45:01.490Z,9.861,-69.633,33,4.3,mb,,,1.2,"Lara, Venezuela",Sismo,,,,9
2001-06-28T15:48:34.080Z,11.431,-70.324,33,5.3,mwc,,,0.9,Golfo de Venezuela,Sismo,,,,
2001-07-29T16:25:46.920Z,11.054,-61.857,33,3.8,mb,,,0.7,"Costa Afuera de Sucre, Venezuela",Sismo,,,,3
2001-08-09T18:13:08.160Z,7.801,-72.778,200,3.9,mb,,,0.85,Frontera Colombia-Venezuela,Sismo,,,,1
2001-09-12T23:50:31.930Z,7.02,-72.971,33,4.1,mb,,,0.79,Frontera Colombia-Venezuela,Sismo,,,,2
2001-10-07T11:54:15.170Z,11.182,-62.502,100,3.9,mb,,,0.99,"Costa Afuera de Sucre, Venezuela",Sismo,,,,1
2001-10-17T04:49:54.900Z,7.217,-72.643,33,4.3,mb,,,0.66,Frontera Colombia-Venezuela,Sismo,,,,9
2001-10-24T12:29:58.150Z,10.704,-62.638,33,4.1,mb,,,1.08,"Sucre, Venezuela",Sismo,,,,6
2001-12-21T20:51:52.470Z,8.17,-70.961,33,5.6,mwc,,,0.68,"Barinas, Venezuela",Sismo,,,,
2001-12-27T09:02:50.850Z,10.044,-69.878,33,3.9,mb,,,1.23,"Lara, Venezuela",Sismo,,,,1
2001-12-28T02:55:00.330Z,7.277,-72.825,33,4.1,mb,,,1.12,Frontera Colombia-Venezuela,Sismo,,,,3
2001-12-28T07:39:12.160Z,10.9,-64.558,33,4.8,mb,,,0.88,Costa Afuera Venezuela,Sismo,,,,5
2002-02-18T22:11:41.460Z,7.221,-72.651,33,4.5,mb,,,0.9,Frontera Colombia-Venezuela,Sismo,,,,11
2002-03-15T07:04:49.420Z,7.126,-72.271,33,4.1,mb,,,1.17,Frontera Colombia-Venezuela,Sismo,,,,4
2002-03-29T20:22:37.770Z,10.353,-62.394,33,4.4,mb,,,1.02,"Golfo de Paria, Venezuela",Sismo,,,,19
2002-03-30T13:15:54.030Z,8.694,-70.696,33,4.3,mb,,,1.07,"Barinas, Venezuela",Sismo,,,,15
2002-04-12T01:43:51.020Z,9.896,-69.963,10,4.5,mb,,,0.94,"Lara, Venezuela",Sismo,,,,20
